Date,WL
2019-01-01,24.34397727
2019-01-02,24.48806818
2019-01-03,24.87363636
2019-01-04,25.52170455
2019-01-05,26.00875
2019-01-06,26.30056818
2019-01-07,26.49272727
2019-01-08,26.71681818
2019-01-09,27.10272727
2019-01-10,27.40306818
2019-01-11,27.55897727
2019-01-12,27.90784091
2019-01-13,28.45261364
2019-01-14,28.76965909
2019-01-15,29.07738636
2019-01-16,29.39
2019-01-17,29.53852273
2019-01-18,29.71522727
2019-01-19,29.77147727
2019-01-20,29.80034091
2019-01-21,29.88738636
2019-01-22,29.86409091
2019-01-23,29.72818182
2019-01-24,29.60818182
2019-01-25,29.24045455
2019-01-26,28.84670455
2019-01-27,28.65784091
2019-01-28,28.58306818
2019-01-29,28.51045455
2019-01-30,28.35454545
2019-01-31,28.30715909
2019-02-01,28.26238636
2019-02-02,28.15159091
2019-02-03,28.17829545
2019-02-04,28.12159091
2019-02-05,28.10272727
2019-02-06,27.89568182
2019-02-07,27.76795455
2019-02-08,27.61568182
2019-02-09,27.27568182
2019-02-10,27.10761364
2019-02-11,26.93761364
2019-02-12,26.82204545
2019-02-13,26.74318182
2019-02-14,26.65204545
2019-02-15,26.53170455
2019-02-16,26.665
2019-02-17,26.80272727
2019-02-18,27.20386364
2019-02-19,27.73761364
2019-02-20,27.97193182
2019-02-21,28.29113636
2019-02-22,28.64636364
2019-02-23,28.95670455
2019-02-24,29.33
2019-02-25,29.75329545
2019-02-26,30.33363636
2019-02-27,30.90909091
2019-02-28,30.96375
2019-03-01,31.27511364
2019-03-02,31.88409091
2019-03-03,31.92840909
2019-03-04,32.56375
2019-03-05,32.72284091
2019-03-06,32.94352273
2019-03-07,33.11602273
2019-03-08,33.23681818
2019-03-09,33.35488636
2019-03-10,33.46568182
2019-03-11,33.62602273
2019-03-12,33.54340909
2019-03-13,33.49125
2019-03-14,33.42079545
2019-03-15,33.43522727
2019-03-16,33.50818182
2019-03-17,33.52227273
2019-03-18,33.73045455
2019-03-19,33.69863636
2019-03-20,33.69159091
2019-03-21,33.47738636
2019-03-22,33.63420455
2019-03-23,33.53193182
2019-03-24,33.39556818
2019-03-25,33.39556818
2019-03-26,33.33931818
2019-03-27,33.31340909
2019-03-28,33.335
2019-03-29,33.33829545
2019-03-30,33.33829545
2019-03-31,33.32977273
2019-04-01,33.27011364
2019-04-02,33.00875
2019-04-03,32.70988636
2019-04-04,32.40875
2019-04-05,32.21397727
2019-04-06,31.90363636
2019-04-07,31.54068182
2019-04-08,31.30204545
2019-04-09,31.23386364
2019-04-10,31.23386364
2019-04-11,31.08045455
2019-04-12,31.20829545
2019-04-13,30.97818182
2019-04-14,30.76875
2019-04-15,30.69659091
2019-04-16,30.67522727
2019-04-17,30.68772727
2019-04-18,30.61727273
2019-04-19,31.01897727
2019-04-20,31.06738636
2019-04-21,31.23227273
2019-04-22,31.27784091
2019-04-23,31.40920455
2019-04-24,31.48409091
2019-04-25,31.15352273
2019-04-26,31.77090909
2019-04-27,31.83056818
2019-04-28,31.85227273
2019-04-29,31.86522727
2019-04-30,31.88261364
2019-05-01,31.77738636
2019-05-02,31.55909091
2019-05-03,31.83181818
2019-05-04,31.84397727
2019-05-05,31.92431818
2019-05-06,32.03136364
2019-05-07,32.20659091
2019-05-08,32.2675
2019-05-09,32.60738636
2019-05-10,33.18022727
2019-05-11,33.16954545
2019-05-12,33.35852273
2019-05-13,33.33965909
2019-05-14,33.10579545
2019-05-15,33.06943182
2019-05-16,33.16431818
2019-05-17,33.19886364
2019-05-18,33.20113636
2019-05-19,33.21568182
2019-05-20,33.39909091
2019-05-21,33.37806818
